"c_host_gene_response_id","c_pathogen_id","c_description","c_host_response_id","c_gene_id","c_curation_flag","c_response_type_vo_id","c_response_type_vo_id2"
56,119,"Expression of IL-22 was increased [Ref2026:Park et al., 2011].",1037,1142,10,VO_0003348,
57,119,"Expression of IL-10 was decreased. Specifically, a quantitative RT-PCR revealed the gene encoding IL-10 was down-regulated in PBMC stimulated with live Map (a M. avium relA mutant) three months post infection compared to the response of PBMC pre-infection [Ref2026:Park et al., 2011].",1037,1143,10,VO_0003336,
58,119,"Expression of Foxp3 was decreased [Ref2026:Park et al., 2011].",1037,1144,0,VO_0000239,
59,119,"Expression of TGF-beta was decreased [Ref2026:Park et al., 2011].",1037,1145,0,VO_0000239,
60,29,"Vaccination with M. tuberculosis SO2 induced a significantly higher proportion of CD4+/IFN-Î³+ producing cells in mice 45 days after vaccination when compared with BCG [Ref352:Martin et al., 2006].",200,1,10,VO_0000273,
61,29,"Splenocytes from BCG-vaccinated guinea pigs were stimulated ex vivo with purified protein derivative from M. tuberculosis and a significant down-regulation of ferritin light- and heavy-chain was measured by reverse-transcription quantitative-PCR [Ref2111:Thom et al., 2012].",1128,1134,10,VO_0000239,
62,29,"Splenocytes from BCG-vaccinated guinea pigs were stimulated ex vivo with purified protein derivative from M. tuberculosis and a significant down-regulation of ferritin light- and heavy-chain was measured by reverse-transcription quantitative-PCR [Ref2111:Thom et al., 2012].",1128,1133,10,VO_0000239,
63,29,"The drrCâˆ’ strain was able to induce splenic antiâ€“M. tuberculosis IFN-Î³â€“secreting T cells responsive to CFP in mice to a level equal to that induced by M. tuberculosis infection and much greater than the amount induced by BCG and control mice.  The drrCâˆ’ mutant was also able to generate high numbers of IFN-Î³â€“secreting cells that recognize the M. tuberculosis ESAT-6 antigen, which BCG and control mice could not do.  IFN-gamma levels in both cases were comparable to levels induced by the wild type. This effect began 4 weeks after infection and was sustained long-term (24 weeks after infection) [Ref1673:Pinto et al., 2004].",1028,1,10,VO_0000273,
64,29,"The fadD26 mutant induced a progressive increase in IFN-Î³ expression in lung homogenates of mice, peaking at day 60, and 2 months later it had decreased by only 20% from its maximal level.  However, it induced significantly lower expression than that induced by the wild type pathogen (MT-103) from days 1-21 post infection [Ref1669:Infante et al., 2005].",1029,1,10,VO_0000273,
65,29,"A fadD26 mutant induced a significantly lower and stable IL-4 expression as compared to the wild type (MT103) during the first month of infection in mice, followed by an increase of 50% at days 60 and 120.  IL-4 levels of a fadD26 mutant-vaccinated mice were significantly lower than those infected with the wild type on days 3, 7, 21, 28, and 60 post infection in lung homogenates [Ref1669:Infante et al., 2005].",1029,125,10,VO_0003336,
66,29,"The fadD26 mutant induced stable TNF-Î± expression in mice, significantly lower than that induced by MT-103 (WT strain) after 1 week of infection.  In lung homogenates, fadD26 mutant vaccination induced significantly lower TNF-alpha levels on days 7, 14, 28, and 60 as compared to mice vaccinated with the wild type [Ref1669:Infante et al., 2005].",1029,1137,10,VO_0003336,
67,29,"Mice infected with the fadD26 mutant showed significant higher iNOS expression than the parent strain in lung homogenates days 21, 28 and 60 post infection. Results showed that the fadD26 mutant is also more efficient than its parental strain at inducing iNOS expression [Ref1669:Infante et al., 2005].",1029,1108,10,VO_0003348,
68,29,"Mutant mce-2 induced a lower but progressive expression of IFN-Î³ than the parent strain in mice, peaking at day 120 post-infection.  The IFN-gamma response in lungs was significantly lower in mice immunized with mce-2 mutants on days 1, 3, 7, 14, and 21 days post infection as compared to mice infected with the wild type [Ref1932:Aguilar et al., 2006].",1032,1,10,VO_0000273,VO_0003336
69,29,"The mce-2 and mce-3 mutant induced progressive TNF-Î± production, but it did not decrease, maintaining high concentrations at days 60 and 120 post-infection [Ref1932:Aguilar et al., 2006].",1032,1137,0,VO_0000106,
70,29,"The mce-2 mutant maintained low IL-4 expression until day 60 post-infection, showing slight increase at day 120.  The expression of  IL-4 was higher in the lungs of mice infected with the parental strain.  Infection with the wild type strain induced significantly more IL-4 than that induced by immunization with the mutant on days 21, 28, and 60 post infection [Ref1932:Aguilar et al., 2006].",1032,125,10,VO_0003336,
71,29,"At the 10-day time point, substantial increases (relative to naive mice) were detected in IFN-Î³ positive CD4 and CD8 lung cells taken from the vaccinated mice [Ref1961:Sambandamurthy et al., 2006].",1109,1,10,VO_0000273,
72,29,"A sigE mutant showed a significantly higher and constant expression of the gene encoding IFN-Î³ as compared to mice infected with the parental strain.  IFN-gamma was significantly upregulated in mice lungs after vaccination with the mutant as compared to infection with the wild type beginning day 1 post-infection and continuing throughout the duration of the experiment [Ref1668:Hernandez et al., 2010].",1036,1,10,VO_0000273,
73,29,"A sigE mutant showed a significantly higher and constant expression of the gene encoding TNF-alpha as compared to mice infected with the parental strain.  Vaccination with the mutant significantly up-regulated TNF-alpha in mice lungs on days 1, 21, and 28 post-infection as compared to infection with the wild type [Ref1668:Hernandez et al., 2010].",1036,1137,10,VO_0003348,
74,29,"A sigE mutant showed a significantly higher and constant expression of the gene encoding Î²-defensin 3 in the lungs beginning the 7th day post vaccination until the 28th day as compared to mice infected with the parental strain [Ref1668:Hernandez et al., 2010].",1036,1147,10,VO_0003348,
75,29,"There was an increased expression of Î²-defensin 4 in the lungs of mice infected with the sigE mutant [Ref1668:Hernandez et al., 2010].",1036,1148,0,VO_0000286,
76,29,"A sigE mutant induced a progressive induction of iNOS expression in late time points [Ref1668:Hernandez et al., 2010].",1036,1108,0,VO_0000286,
77,29,"The expression of IL-10 was higher in sigE mutant-infected mice lungs as compared to infection with the parental strain, but it was significant only 21 and 28 days after the infection [Ref1668:Hernandez et al., 2010].",1036,126,10,VO_0003348,
78,29,"IL-4 was expressed at a significantly lower level in the sigE mutant-infected mice as compared to mice infected with the wild type pathogen.  Significant down regulation of IL-4 by the mutant in mouse lungs was seen days 1-28 post infection as compared to infection with the wild type [Ref1668:Hernandez et al., 2010].",1036,125,10,VO_0003336,
79,29,"A sigE mutant upregulates GPR182 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1149,10,VO_0003348,
80,29,"A sigE mutant upregulates TBX21 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1150,10,VO_0003348,
81,29,"A sigE mutant upregulates APOBEC3B  in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1151,10,VO_0003348,
82,29,"A sigE mutant upregulates PCDHB1 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1152,10,VO_0003348,
83,29,"A sigE mutant upregulates TSC22D4 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1153,10,VO_0003348,
84,29,"A sigE mutant upregulates HIST1H2BE  in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1154,10,VO_0003348,
85,29,"A sigE mutant upregulates STAG3 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1155,10,VO_0003348,
86,29,"A sigE mutant upregulates C19orf66 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1156,10,VO_0003348,
87,29,"A sigE mutant upregulates CD70 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1157,10,VO_0003348,
88,29,"A sigE mutant upregulates HIST2H4A in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1158,10,VO_0003348,
89,29,"A sigE mutant upregulates PTCD1 in human THP-1 cells, which was not significantly upregulated after infection with the wild type pathogen [Ref2112:FontÃƒÂ¡n et al., 2008].",1129,1159,10,VO_0003348,
90,138,"Ninety-six hours after challenge with the wild-type strain RN6390 or heterologous strain MB319, the relative mRNA levels of IFN-Î³ and IL-4 were determined in mammary glands by RT-PCR.  Mammary glands from mice immunized with the aroA mutant showed a significant increase in the level of IFN-Î³ transcripts compared with control, unvaccinated mice [Ref1643:Buzzola et al., 2006].",973,1,10,VO_0000273,
91,138,"Ninety-six hours after challenge with the wild-type strain RN6390 or heterologous strain MB319, the relative mRNA levels of IFN-Î³ and IL-4 were determined in mammary glands by RT-PCR.  Mice immunized with the aroA mutant showed a significant increase in the level of IL-4 transcripts compared with control, unvaccinated mice [Ref1643:Buzzola et al., 2006].",973,125,10,VO_0000569,
92,81,"Most of the mice with intranasal Î”vicK infection produce mucosal IgA [Ref1650:Liu et al., 2008].",972,1160,0,VO_0000387,
93,81,"Most of the mice with intranasal Î”vicK infection produce systemic IgG specific to protective antigen SeM [Ref1650:Liu et al., 2008].",972,1161,0,VO_0000286,
94,166,"High titers of anti-B. bronchiseptica IgM were detected in serum samples from immunized, but not naive, mice prior to challenge [Ref1665:Stevenson and Roberts, 2002].",946,1162,10,VO_0000309,VO_0000569
95,166,"High titers of anti-B. bronchiseptica IgA were detected in serum samples from immunized, but not naive, mice prior to challenge [Ref1665:Stevenson and Roberts, 2002].",946,1160,10,VO_0000309,VO_0000569
96,166,"High titers of anti-B. bronchiseptica IgG were detected in serum samples from immunized, but not naive, mice prior to challenge [Ref1665:Stevenson and Roberts, 2002].",946,1161,10,VO_0000309,VO_0000569
97,166,"AVS induces significantly increased IFN-gamma production in mouse splenocytes as compared to naive mice.  This increase occurred 28 days after vaccination and after stimulation with heat-killed RB50 [Ref2021:Mann et al., 2007].",947,1,10,VO_0000273,VO_0000569
98,166,"AVS induces decreased IL-10 production in mouse splenocytes as compared to inoculation with wild type strain.  This decrease occurred 28 days after vaccination and after stimulation with heat-killed RB50.  However, IL-10 was significantly upregulated in splenocytes compared to naive mice [Ref2021:Mann et al., 2007].",947,126,10,VO_0003336,
99,109,"The predominant class of serum anti-B. pertussis immunoglobulins, in both vaccinated and control mice, was IgG [Ref1660:Roberts et al., 1990].",1001,1161,0,VO_0000309,
100,8,"Spleen cells obtained 9 weeks after inoculation of mice with WR201 produced more IL-2 than non-immunized, non-infected control mice.  These results were significant [Ref704:Hoover et al., 1999].",394,1121,10,VO_0000569,
101,8,"Spleen cells obtained 9 weeks after inoculation of mice with WR201 produced more IL-10 than non-immunized, non-infected control mice.  These results were significant [Ref704:Hoover et al., 1999].",394,126,10,VO_0000569,
102,8,"Spleen cells obtained 9 weeks after inoculation of mice with WR201 produced more IFN-gamma than non-immunized, non-infected control mice.  These results were significant [Ref704:Hoover et al., 1999].",394,1,10,VO_0000273,VO_0000569
103,8,"Sera obtained from immunized animals from 1 to 8 weeks after intraperitoneal administration of WR201 showed a rise in anti-protein IgG by week 4 [Ref704:Hoover et al., 1999].",394,1161,10,VO_0000309,VO_0000569
104,8,"In IRF-1 KO mice, significantly increased levels of IFN-gamma were produced after vaccination with a pgk mutant as compared to medium.  Animals immunized with strain RB51 showed reduced production of IFN-Î³ compared to mice vaccinated with the Î”pgk mutant and S19, but it was not a statistically significant difference [Ref1811:Trant et al., 2010].",1093,1,10,VO_0000273,VO_0000569
105,8,"Spleen cells from Î”pgm-vaccinated mice were induced to secrete high levels of IFN-Î³ 8 weeks after immunization after stimulation with heat-inactivated B. abortus S2308 whole cells.  The levels were compared to a positive control, the nonspecific mitogen ConA, and were significant [Ref1909:Ugalde et al., 2003].",1092,1,10,VO_0000273,
106,8,"Mouse immunization with encapsulated S19 Î”vjbR::Kan induced higher IgG1 and IgG2a levels compared to the nonencapsulated S19 Î”vjbR::Kan mutant 3 weeks post vaccination and significantly higher levels than naive mice [Ref2096:Arenas-Gamboa et al., 2009].",1115,1107,10,VO_0000309,VO_0000569
107,8,"Mouse immunization with encapsulated S19 Î”vjbR::Kan induced higher IgG1 and IgG2a levels compared to the nonencapsulated S19 Î”vjbR::Kan mutant 3 weeks post vaccination and significantly higher levels than naive mice [Ref2096:Arenas-Gamboa et al., 2009].",1115,1106,10,VO_0000309,VO_0000569
108,8,"Cytokine secretion from spleen cells of mice vaccinated with the encapsulated vjbR::Tn5 revealed significantly elevated secretion of gamma interferon compared to non-vaccinated mice 10 and 30 weeks post vaccination [Ref699:Arenas-Gamboa et al., 2008].",390,1,10,VO_0000273,VO_0000569
109,8,"Cytokine secretion from spleen cells of mice vaccinated with the encapsulated vjbR::Tn5 revealed significantly elevated secretion of interleukin-12 compared to non-vaccinated mice 10 and 30 weeks post vaccination [Ref699:Arenas-Gamboa et al., 2008].",390,1127,10,VO_0000569,VO_0000569
110,163,"IgM titers of immersion vaccinated catfish were lower compared to i.c.-vaccinated catfish as expected. However, in both cases skin IgM titers were significantly higher than naÃ¯ve non-vaccinated fish 30 days post-immunization [Ref2083:Santander et al., 2011].",1112,1163,10,VO_0000309,VO_0000569
111,25,"NU14 Î”waaL significantly enhanced mouse macrophage IL-6 secretion relative to wild-type NU14 4 hours after treatment.  TNF-alpha reduced IL-6 expression of deletion mutants, but under these conditions IL-6 was expressed more than that expressed by macrophages infected with the wild type in the presence of TNF-alpha [Ref1788:Billips et al., 2009].",1107,1139,10,VO_0003348,
112,12,"Following i.n. immunization, LVS Î”capB induced significantly higher levels of serum IgG, IgG2a, and IgM antibodies in mice than LVS by 7 days post immunization [Ref1791:Jia et al., 2010].",1060,1161,10,VO_0000309,VO_0003348
113,12,"Following i.n. immunization, LVS Î”capB induced significantly higher levels of serum IgG, IgG2a, and IgM antibodies in mice than LVS by 7 days post immunization [Ref1791:Jia et al., 2010].",1060,1106,10,VO_0000309,VO_0003348
114,12,"Following i.n. immunization, LVS Î”capB induced significantly higher levels of serum IgG, IgG2a, and IgM antibodies in mice than LVS by 7 days post immunization [Ref1791:Jia et al., 2010].",1060,1162,10,VO_0000309,VO_0003348
115,12,"An FTL0552 mutant induced significantly elevated levels of IL-12 in C57BL/6 mice lung homogenates by day 7 post infection compared to LVS [Ref1958:Sammons-Jackson et al., 2008].",1061,1127,10,VO_0003348,
116,12,"Twenty four hours after infection of a mouse macrophage-like cell line (THP-1) or BMDCs with the galU mutant, the amount of IL-1Î² released into culture supernatants was significantly higher than was observed following infection with WT FT [Ref2081:Jayakar et al., 2011].",1106,1138,10,VO_0003348,
117,12,"LVSÎ”guaB caused a rapid increase in the levels of transcription of TLR2-dependent cytokines including TNF-Î±, IL-1Î², KC, and IL-12 p35 following infection of primary mouse macrophages as compared to media.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1137,10,VO_0000569,
118,12,"LVSÎ”guaB caused a rapid increase in the levels of transcription of TLR2-dependent cytokines including TNF-Î±, IL-1Î², KC, and IL-12 p35 following infection of primary mouse macrophages as compared to media.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1138,10,VO_0000569,
119,12,"LVSÎ”guaB caused a rapid increase in the levels of transcription of TLR2-dependent cytokines including TNF-Î±, IL-1Î², KC (i.e., Cxcl1), and IL-12 p35 following infection of primary mouse macrophages as compared to media.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1164,10,VO_0000569,
120,12,"LVSÎ”guaB caused a rapid increase in the levels of transcription of TLR2-dependent cytokines including TNF-Î±, IL-1Î², KC, and IL-12 p35 following infection of primary mouse macrophages as compared to media.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1165,10,VO_0000569,
121,12,"RANTES and iNOS were induced after 4 hours of infection of the mutant in mouse macrophages and were significantly higher than media controls.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1108,10,VO_0000569,
122,12,"RANTES (Ccl5) and iNOS were induced after 4 hours of infection of the mutant in mouse macrophages and were significantly higher than media controls.  Levels were similar to or greater than levels induced by WT LVS [Ref1676:Santiago et al., 2009].",1064,1166,10,VO_0000286,
123,12,"IL-12 p40 mRNA was induced later in mouse macrophages, but was expressed for a longer period of time than other expressed cytokines.  Levels were similar to or greater than levels induced by WT LVS and were significantly greater than media controls [Ref1676:Santiago et al., 2009].",1064,1127,10,VO_0000569,
124,12,"The titer of immunoglobulin G (IgG) antibodies directed toward the surface-exposed protein antigens in anti-LVS wbtA antisera was determined to be 8,000 + 1,849, fourfold higher than the titer for LVS-immunized mice.  The IgG2a subclass predominated among the IgG subtypes analyzed [Ref1959:Sebastian et al., 2007].",1069,1106,10,VO_0000309,VO_0003348
125,12,"Intranasal immunization with 106 CFU KKF24 induced a robust primary antibody response that included the induction of F. novicida-specific total, IgG1, and IgG2a antibodies.  No binding was observed with unrelated antigens, levels in immune sera were significantly greater than normal mouse sera, and levels increased post-challenge [Ref71:Pammit et al., 2006].",51,1106,10,VO_0000309,VO_0000569
126,12,"Intranasal immunization with 106 CFU KKF24 induced a robust primary antibody response that included the induction of F. novicida-specific total, IgG1, and IgG2a antibodies.  No binding was observed with unrelated antigens, levels in immune sera were significantly greater than normal mouse sera, and levels increased post-challenge [Ref71:Pammit et al., 2006].",51,1107,10,VO_0000309,VO_0000569
127,12,"It was found that all of the IFN-Î³âˆ’/âˆ’ vaccinated mice quickly succumbed within 4 to 5 days to the pulmonary challenge with the wild-type strain, whereas 100% of the IFN-Î³+/+ mice were completely protected against both challenge doses.  Both groups were able to survive vaccination with KKF24 [Ref71:Pammit et al., 2006].",51,1,10,VO_0000286,
