"c_vaxvec_id","c_vaxvec_name","c_alternative_names","c_advantage","c_disadvantage","c_safety","c_stability","c_host","c_vaxvec_vo_id","c_description","c_submitted_by","c_submission_date","c_curation_flag","c_preparation","c_storage","c_function"
19,Baculovirus vaccine vector,,"These vectors possess a great capacity for cloning and low cytotoxicity.  These vectors allow for biosafety and are easy to manipulate and produce.  They allow for efficient gene delivery and can express foreign protein in mammalian cells, given that the gene in question is regulated on the level of transcription of mammalian cell-active promoter [Ref2837:Lu et al., 2012].",,"Baculovirus does not replicate inside the transduced cells and does not integrate its DNA into host chromosomes when this is not specifically selected for. Baculovirus affects insects in nature and can transduce a variety of animal cells.  However, remians non-pathogenic in the case of humans [Ref2837:Lu et al., 2012].","",,VO_0001084,"Baculovirus is known for being able to transfer genes in vivo.  This includes the liver, spleen, testes, heart and skeletal muscle of mice, retinal vasculature and brain of rats, and carotid artery and intervertebral discs of rabbit.  The latter indicates its potential for broad tissue tropism [Ref2845:Madhan et al., 2010].  Success with baculovirus has been reported in vitro as well as in vivo.  The cloning capacity of baculovirus is as large as 38 kb, which provides for the ability to deliver many genes and regulatory elements [Ref2837:Lu et al., 2012].",rasikap@umich.edu,"2014-03-24 00:46:06",10,,,
20,Rous sarcoma virus vaccine vector,RSV,,,,,,VO_0001104,"Rous sarcoma virus is classified as a simple retrovirus.  More specifically, this virus is an avian retrovirus.  Its genome includes 9312 nucleotide sequences and encompasses four major open reading frames (ORFs) 5â€²-gag-pol-env-src-3â€².Â  Its three beginning open reading frames--gag, pol, and env--are not necessary to a large extent to generate a retrovirus that functions well.",rasikap@umich.edu,"2014-03-24 14:53:48",10,,,
21,Fowlpox virus vaccine vector,FPV,,,"Fowlpox virus is known to be pathogenic in some avian species.  However, it is incapable of adequately infecting humans due to an inability to complete its life cycle and create an infectious particle [Ref2841:Afonso et al., 2000].",,,VO_0001040,"Fowlpox virus is a member of poxviridae family.  Specifically, it is classified withing the avipoxvirus genera.  Its genome size is approximately 260 to 309 kbp long [Ref2841:Afonso et al., 2000].",rasikap@umich.edu,"2014-03-24 15:00:51",10,,,
22,Lentiviral vaccine vector,lentivectors,"When comparing these vectors to other viral vectors, lentivectors contain important T cell adjuvant activities.  They can productively transduce a a great variety of cell types, no matter their division status.  Additionally, there exists less anti-vector immunity to lentiviral vectors than in the case of other viral vectors [Ref2842:Liechtenstein et al., 2013].Â ",,"Lentivectors have been gradually enhanced to augment both their efficiency and biosafety [Ref2842:Liechtenstein et al., 2013].  Because lentivectors appear to generate less genotoxicity, it is speculated that they may be safer than Î³-retrovirus vectors.  Specifically, the packaging plasmid in second generation lentivectors codes for gag-pol, rev and tat, but does not contain the remaining viral accessory genes (vif, vpr, vpu, nef).  Safer than second generation lentivectors are third generation lentivectors, which are rev and tat-independent [Ref2842:Liechtenstein et al., 2013].",,,VO_0000359,"Lentiviral vectors are virus-based gene vectors [Ref2842:Liechtenstein et al., 2013].",rasikap@umich.edu,"2014-03-24 15:20:10",10,,,"Lentivectors have been shown to result in extended transgene expression because of their ability to integrate genomes stably  within chromatin sites that are transcriptionally active.  They have been substituted in for Î³-retrovirus vectors in human therapy [Ref2842:Liechtenstein et al., 2013]."
23,Retroviral vaccine vector,Retrovirus vaccine vector,,,"Retroviral vectors allow for stable integration of a cDNA copy of their RNA genome into the host cell chromosomes.  This is accomplished through the mechanisms of reverse transcription and integration [Ref2843:Liechtenstein et al., 2013].",,,VO_0001102,"Retroviral vectors encompass a large class of virus-based gene vector.  This class of vectors, developed from theÂ retroviridaeÂ family, is subdivided into simple and complex retroviruses [Ref2843:Liechtenstein et al., 2013].  These viruses are positive-sense single-stranded (ss) RNA diploid viruses which posses a somewhat spherical shape [Ref2843:Liechtenstein et al., 2013].  Retrovirus genomes posses similar configuration.  Read from the 5â€² to the 3â€² end, genomes of retroviruses encompass the genes gag, pol, and env.  An important event in a retrovirus' replication cycle occurs when the pol gene is expressed.  The pol gene is responsible for encoding reverse transcriptase (RT), integrase, and RNase H [Ref2844:Nikolic et al., 2012].",rasikap@umich.edu,"2014-03-24 15:54:38",10,,,"Retroviral vectors are prime gene carriers to genetically alter cells being targeted.  Their administration has been to result in stable, longstanding expression of transgenes [Ref2843:Liechtenstein et al., 2013]."
24,adeno-associated virus vector,AAV,,,,,,VO_0000571,"There are many subtypes of AAV.  In total, there are six serotypes of AAV, including AAV type 1 (AAV-1), have been isolated from primates, and two have been isolated from nonhuman primates; AAV-2, AAV-3, and AAV-5 are from humans, and AAV-6 is from a human adenovirus preparation. AAV-2 is the most characterized primate serotype, since its infectious clone was the first one made",rasikap@umich.edu,"2014-03-24 15:57:36",10,,,
44,Newcastle disease virus vaccine vector,,,,,,,VO_0001060,,shzhdeng@gmail.com,"2014-06-13 11:41:03",10,,,
45,E. coli vaccine vector,,,,,,,VO_0001070,,shzhdeng@gmail.com,"2014-06-16 16:06:31",10,"Cell-penetrating peptides (CPPs) are short cationic/amphipathic peptides which facilitate cellular uptake of various molecular cargoes and therefore have great potentials in vector vaccine design. Among the tested CPPs, TAT showed an excellent capability to deliver the cargo protein EGFP into cytoplasm [Ref3098:Ma et al., 2014]. In order to establish an efficient antigen delivery system in Escherichia coli, the EGFP-TAT synthesis circuit was combined with an in vivo inducible lysis circuit PviuA-E in E. coli to form an integrated antigen delivery system, the resultant E. coli was proved to be able to lyse upon the induction of a mimic in vivo signal and thus release intracellular EGFP-TAT intensively, which were assumed to undergo a more efficient intracellular delivery by CPP to evoke protective immune responses [Ref3098:Ma et al., 2014].",,
25,Edwardsiella tarda EIB202 vaccine vector,E. tarda EIB202,"Because E. tarda is commonnly a fish pathogen, it is useful as a vector for other pathogens in fish.  It has been shown to elicit strong immune responses and in one study of E. tarda EIB202 expression of A. hydrophila LSA34 (another fish pathogen) over 60% of fish challenged with A. hydrophila survived [Ref2876:Mu et al., 2011].","Because the bacteria are live yet attenuated, they have the potential to be released into the environment upon vaccination.  Therefore, the attenuation procedures must be carefully monitored to avoid environmental hazards [Ref2877:Yan et al., 2013].",,,"48",VO_0001032,"Edwardsiella tarda is a common invasive pathogen of fish, causing enteric septicemia [Ref2877:Yan et al., 2013].  Its attenuated forms are effective recombinant vaccine vectors in such hosts as zebrafish [Ref2876:Mu et al., 2011].",carlymar@umich.edu,"2014-03-26 13:27:58",10,,,""
26,Streptococcus gordonii vaccine vector,,"As a regular resident of the oral cavity, a live,attenuated. gordonii strain is a good candidate for oral vaccine administration [Ref2878:Wang et al., 2013].  Also, S. gordonii has been shown to activate antigen-presenting cells and induce their maturation [Ref2884:Mayer et al., 2009].  Compared to Lactococcus lactis, S. gordonii is a superior vaccine vector for intestinal immunization [Ref2984:Lee et al., 2009].","In order to elicit a necessary amount of cytokines, cytokines must be delivered externally because S. gordonii has been shown to be unable to elicit cytokines needed to suppress mucosal tolerance [Ref2885:Mayer et al., 2009]",,,,VO_0001036,"The S. gordonii M6 protein can be used to localize antigens, such as Sj-F1 of Schistosoma japonicum, on the surface of the bacterium, which induces an immune response against that antigen in the host [Ref2878:Wang et al., 2013].",carlymar@umich.edu,"2014-04-01 23:26:54",10,,,"The M6 protein from Streptococcus pyogenes is surface-localized with specific antigens on the surface of S. gordonii, which then expresses the antigen [Ref2878:Wang et al., 2013]."
27,Actinobacillus pleuropneumoniae vaccine vector,Actinobacillus pleuropneumoniae HS93Tox-,"The A. pleuropneumoniae toxin has been shown to partly induce immune responses, which is why its attenuated form is a good candidate for vaccine creation against porcine pneumonia [Ref2888:Prideaux et al., 1998].","As well as inducing immune responses, the A. pleuropneumoniae toxin is also the cause of the bacterium's virulence [Ref2888:Prideaux et al., 1998].","The A. pleuropneumoniae toxin ApxA must be shown to be attenuated in order to safely be inserted into a vector (which in turn, will ""infect"" the host) because otherwise the toxin is extremely virulent [Ref2888:Prideaux et al., 1998].",,,VO_0001038,"A. pleuropneumoniae is a causative agent of porcine pneumonia which affects pigs worldwide, and can cause great economic losses. A mutant strain of A. pleuropneumoniae can be used as an effective vector for the transport of its own attenuated toxin [Ref2888:Prideaux et al., 1998].",carlymar@umich.edu,"2014-04-02 01:47:51",10,"The HS93Tox- mutant of the serovar 7 strain of Actinobacillus pleuropneumoniae lacks the genes encoding the toxin ApxA and the post-translational activating protein ApxC, but still has genes required for secretion, making it a good vector.  A plasmid vector was created to express the ApxA gene inside the HS93Tox- mutant of A. pleuropneumoniae, so that the bacterium acts as a vector for its own natural toxin [Ref2888:Prideaux et al., 1998].",,"A. pleuropneumoniae is a causative agent of porcine pneumonia which affects pigs worldwide, and can cause great economic losses, so a vaccine preventing this disease would be good for economic as well as health reasons [Ref2887:Shin et al., 2013]."
28,Bordetella pertussis BPZE vaccine vector,B. pertussis BPZE,"Because B. pertussis is so virulent (when it is not attenuated) it can induce strong mucosal and systemic humoral and cellular immune responses, as well as long-lasting protection.  This ability to induce such strong immune responses means that it has the potential to be a suitable intranasal vaccine vector against many diseases with only one dose [Ref2890:Mielcarek et al., 2006].","Because the B. pertussis toxin is so strongly virulent, a strain must be developed and well-proven to be attenuated before becoming safe for use [Ref2890:Mielcarek et al., 2006].","The strains are well-attenuated by inactivating the pertussis toxin, so when inoculation occurs, the strains are no longer virulent and therefore safe [Ref2890:Mielcarek et al., 2006].",,,VO_0001037,"Live, attenuated B. pertussis is a good candidate to be a vector for intranasal introduction of various diseases due to its ability to induce immune responses and quickly colonize the respiratory tract [Ref2890:Mielcarek et al., 2006].",carlymar@umich.edu,"2014-04-02 02:38:03",10,"In order to ensure attenuation of the toxin, allelic exchange is used to delete the dermonecrotic toxin gene and replace the pertussis toxin gene with an allele coding for inactivity of the toxin.  The ampG gene is overexpressed in order to hinder the production of tracheal cytotoxin [Ref2890:Mielcarek et al., 2006].",,"Because B. pertussis is an infectious pathogen that colonizes the human respiratory tract, causing whooping cough, it is a good candidate to be a bacterial vaccine vector with the purpose of colonizing the respiratory tract but rather than infecting the host, inducing cellular and humoral immunity [Ref2890:Mielcarek et al., 2006]."
29,Leishmania tarentolae vaccine vector,,,,"The lizard protozoan parasite Leishmania tarentolae is considered nonpathogenic to humans [Ref3338:Saljoughian et al., 2013]. It has never been found associated with any form of human leishmaniasis.",,,VO_0001028,,carlymar@umich.edu,"2014-04-02 02:53:44",10,,,
50,Cytomegalovirus vaccine vector,CMV,,,,,,VO_0001073,,shzhdeng@gmail.com,"2014-06-18 22:03:18",10,,,
31,Mouse leukemia virus-based vaccine vector,MLV,,,"Leukemia developed in a large number of treated children because insertional mutagenesis was a major setback.  This was due to the therapeutic retroviral vector genome integrating itself near proto-oncogenes which led to their upregulation in corrected T cells, which in turn resulted in uncontrolled T cell clonal amplification. Such severe genotoxic effects did not only occur in this particular clinical trial.  Other serious effects have been occurred when correcting chronic granulomatous disease [Ref2974:Liechtenstein et al., 2013].",Retroviruses are one of the mainstays of current gene therapy approaches. The recombinant retroviruses such as the Moloney murine leukemia virus have the ability to integrate into the host genome in a stable fashion. They contain a reverse transcriptase that allows integration into the host genome. They have been used in a number of FDA-approved clinical trials such as the SCID-X1 trial (URL: http://en.wikipedia.org/wiki/Viral_vector).,,VO_0001088,"The mouse leukemia virus-based vaccine vector is Î³-retrovirus vector and a member of the retroviridaeÂ family [Ref2974:Liechtenstein et al., 2013]. The Friend virus (FV) is a strain of murine leukemia virus. The Friend virus has been used for both immunotherapy and vaccines (Web: http://en.wikipedia.org/wiki/Murine_leukemia_virus).",rasikap@umich.edu,"2014-04-09 08:21:13",10,,,"This vector has successfully corrected severe combined immunodeficiency (SCID)-X1 in 11 children [Ref2974:Liechtenstein et al., 2013]."
48,chimpanzee adenovirus vaccine vector,,,,,,,VO_0001055,,shzhdeng@gmail.com,"2014-06-18 15:34:08",10,,,
49,Maraba Virus vaccine vector,,,,,,,VO_0001063,,shzhdeng@gmail.com,"2014-06-18 21:45:37",10,,,
32,Vaccinia virus vector,,,Vaccinia viruses are not to be administered to severely immunocompromised patients which limits their versatility as a vaccine vector.,,,,VO_0000600,"Vaccinia viruses are members of the poxviridae family.  Specifically, they belong to the orthopoxvirus genera. The genome size of a vaccinia virus is approximately 190 kbp with each virus containing about 250 genes. The genes in highly attenuated vaccinia virus vectors (VACV) that are expressed early during the infection process are usually preferentially recognized by CD8 T cell responses. In contrast, the VACV genes that demonstrate expression at intermediate and/or late times post infection are usually preferential targets for CD4 T cell and antibody responses [Ref2980:Wennier et al., 2013]. The timing of expression of heterologous antigens in the VACV system affects the capacity to induce antigen-specific T cell immune responses since the efficiency with which an antigen is processed and presented on the surface of infected cells influences its recognition [Ref2981:Di et al., 2013].",rasikap@umich.edu,"2014-04-14 00:40:40",10,,,"The genes in highly attenuated vaccinia virus vectors (VACV) that are expressed early during the infection process are usually preferentially recognized by CD8 T cell responses. In contrast, the VACV genes that demonstrate expression at intermediate and/or late times post infection are usually preferential targets for CD4 T cell and antibody responses [Ref2980:Wennier et al., 2013]. The timing of expression of heterologous antigens in the VACV system affects the capacity to induce antigen-specific T cell immune responses since the efficiency with which an antigen is processed and presented on the surface of infected cells influences its recognition [Ref2981:Di et al., 2013]."
33,Adenoviral vector,"","Recombinant, replication-incompetent adenovirus vector vaccines can efficiently generate humoral and cellular immune responses.  One of the most popularly studied viral vectors, Adenovirus (Ad) vectors have also demonstrated promising results against filoviruses. First-generation Ad vectors expressing ZEBOV GP have demonstrated 100% protection in NHP against homologous virus challenge. Additionally, it was previously demonstrated that second-generation complex Ad vectors expressing multiple filovirus GP antigens can provide complete protection of rodents against ZEBOV or MARV challenge [Ref2975:Swenson et al., 2008].","Adenoviral vectors are only capable of carrying a single filovirus GP gene due to restrictions in genome size of first-generation Ad vectors [Ref2975:Swenson et al., 2008].",,,,VO_0000136,"One of the most popularly studied viral vectors, Adenovirus (Ad) vectors have demonstrated promising results against filoviruses. First-generation Ad vectors expressing ZEBOV GP induced 100% protection in NHP against homologous virus challenge. Additionally, second-generation complex Ad vectors expressing multiple filovirus GP antigens can provide complete protection of rodents against ZEBOV or MARV challenge [Ref2975:Swenson et al., 2008].",rasikap@umich.edu,"2014-04-14 08:59:29",10,,,
35,Human adenoviral vectors,HAd,"HAd5 is the best characterized of all adenoviruses [Ref2976:Bangari and Mittal, 2006].","The employment of adenoviral vectors in clinical vaccine applications is thought to be limited by pre-existing immunity to the vector or immunity that rapidly develops after the first inoculation with adenoviral vectors [Ref2976:Bangari and Mittal, 2006].","Ad vectors appear to be safe for use in humans as human Ad (HAd) serotype 4 and 7 have been used as live oral vaccines in military recruits in the USA for several decades without any known adverse effects [Ref2976:Bangari and Mittal, 2006].",,,VO_0001087,,rasikap@umich.edu,"2014-04-15 00:55:42",10,,,
36,complex adenovirus vaccine vector,CAdVax vaccine vector,"CAdVax vectors are capable of carrying large transgene inserts of up to 7 kilobases or six different genes. This property depends on each gene's size.  The CAdVax platform allows for multiantigen expression from each vector, which lessens the total number of components required for a panfilovirus vaccine [Ref2977:Swenson et al., 2008].",,"When vaccinating nonhuman primates, 100% protection was exhibited against infection by two species of Ebola virus and three Marburg virus subtypes, each of which was administered at 1,000 times the lethal dose [Ref2977:Swenson et al., 2008].",,,VO_0001086,"A study contributed strong proof of concept for a single vaccine against many filoviruses using the CAdVax platform [Ref2977:Swenson et al., 2008]. When vaccinating nonhuman primates, 100% protection was exhibited against infection by two species of Ebola virus and three Marburg virus subtypes, each of which was administered at 1,000 times the lethal dose [Ref2977:Swenson et al., 2008].",rasikap@umich.edu,"2014-04-15 01:21:29",10,,,
37,NYVAC vaccine vector,,"A NYVAC vaccine vector allows for gene expression on a high level and generates antigen-specific immune responses when administered to animals and humans [Ref2979:Perdiguero et al., 2013].","A NYVAC vector still contains other viral genes that are immunomodulatory that may repress host immunity, notably genes coding for proteins that antagonize the innate immune response mediated by Toll-like receptor (TLR) signaling.  It also remains uncertain that long-term existence of protective immune response will be generated when NYVAC is administered. It has been documented that antibody titers induced by NYVAC for small pox disease were significantly lower than the traditional vaccines. Moreover, NYVAC immunized subjects exhibited qualitative differences in the immune response, resulting in the failure in the induction of antigen-specific antibodies [Ref2979:Perdiguero et al., 2013].","NYVAC is a highly attenuated vaccinia strain [Ref3232:Tartaglia et al., 1992]. NYVAC is highly regarded as a potential clinical vaccine candidate because it has demonstrated an exemplary safety profile and in vivo efficacy [Ref2979:Perdiguero et al., 2013].",,,VO_0001093,"NYVAC is a vaccinia virus (VACV) strain that is highly attenuated. This vaccine vector possesses limited ability to replicate in human and the majority of mammalian cell types. It has been productively employed to battle emergent infectious diseases and cancer in humans. As a vaccine that has the potential to work against emergent infectious diseases and cancer, NYVAC is undergoing fierce preclinical and clinical testing [Ref2979:Perdiguero et al., 2013].",rasikap@umich.edu,"2014-04-15 20:46:07",10,,,
38,Adenovirus serotype 5 vaccine vector,Ad5,"The adenovirus serotype 5 vaccine vector has demonstrated a certain capability to generate protective immune response against disease [Ref2982:Lu et al., 2012].","A large amount of pre-existing immunity to Ad5 creates a great disadvantage for this vector. Preclinical trials concerning rodents and nonhuman primates indicated that this immunity is capable of diminishing or even eradicating the vaccine's immunogenicity. Some studies have implied that the existence of antibodies against Ad5 vectors may augment toxicities associated with this vector [Ref2982:Lu et al., 2012].",,,,VO_0001081,"The adenovirus serotype 5 vaccine vector is an adenoviral vector. Its genome size is approximately 35934 bp. This vector largely depends on interaction with the coxsackievirus-adenovirus receptors to mediate gene delivery, allowing for adenovirus vector to be unqualified for a large variety of diseases [Ref2982:Lu et al., 2012].",rasikap@umich.edu,"2014-04-15 23:19:57",10,,,
39,Autographa californica multicapsid Nucleopolyhedrovirus vaccine vector,AcMNPV,,,"The Autographa californica multicapsid nucleopolyhedrovirus (AcMNPV) GP64 envelope glycoprotein is essential for virus entry and plays an important role in virion budding. An AcMNPV construct that contains a deletion of the gp64 gene is unable to propagate infection from cell to cell, and this defect results from both a severe reduction in the production of budded virions and the absence of GP64 on virions [Ref3024:Zhou and Blissard, 2008].",,,VO_0001082,Autographa californica multicapsid Nucleopolyhedrovirus vaccine vector is a member of the baculovirus family. This vector is the most well studied and commonly exploited baculovirus for the large scale production of recombinant proteins.,rasikap@umich.edu,"2014-04-15 23:26:42",10,,,
41,swinepox virus vector,"SPV virus vector, SWPV virus vector",,,The default ATCC Kasza strain is still virulent and may cause mild infection in pigs.,,,VO_0001106,"This vector has been used in many vaccines such as one for Streptococcus equi [Ref3016:Lin et al., 2011] and for influenza viruses [Ref3015:Xu et al., 2013].",shzhdeng@gmail.com,"2014-05-27 15:26:24",10,,,"This vector  can be used to generate a vaccine for pig use since this virus can naturally infect pigs [Ref3015:Xu et al., 2013]."
42,duck enteritis virus vector,,,,,,,VO_0001072,,shzhdeng@gmail.com,"2014-06-10 09:45:06",10,,,
43,herpesvirus of turkey vector,HVT vaccine vector,,,,,,VO_0001067,,shzhdeng@gmail.com,"2014-06-10 09:47:04",10,,,
51,bovine herpesvirus 4 (BoHV-4) vaccine vector,BoHV-4,,,,,,VO_0001042,,shzhdeng@gmail.com,"2014-06-18 22:27:02",10,,,
52,measles virus vaccine vector,MV vaccine vector,,,,,,VO_0001056,,shzhdeng@gmail.com,"2014-06-18 22:35:10",10,,,
53,simian adenovirus ChAd63 vaccine vector,,,,,,,VO_0001047,,shzhdeng@gmail.com,"2014-06-18 22:52:33",10,,,
54,Lactobacillus gasseri vaccine vector,,,,,,,VO_0001066,,shzhdeng@gmail.com,"2014-06-18 23:04:25",10,,,
