"c_host_response_id","c_host_id","c_vaccine_id","c_immune_response","c_pathogen_id","c_host_strain","c_vaccination_protocol","c_route","c_persistence","c_protection_efficacy","c_side_effects","c_challenge_protocol","c_description","c_curation_flag","c_deleted","c_immune_response_assay_type","c_immune_response_type","c_immune_response_type2","c_age","c_gender","c_cellType"
146,2,116,"",25,Human,"Ninety eight healthy adult volunteers (40 men, 58 women) aged 18-49 years were studied.  Vaccine doses were prepared in 200ml of Cera Vacx, a buffer solution in order to neutralize gastric acid.  The vaccine was tested initially by preforming dose-escalation studies to determiine the highest, safe and tolerated dose.  Initially, it was administered using 5*10^7, 5*10^8, and 5*10^9 cfu.  The highest dose was used in comparison with placebo.  Blood was collected from volunteers 3, 7, 10, 13 days after each dose of vaccine or placebo, and the hightest value used as 'peak' titre or count [Ref206:Daley et al., 2007].",oral,Not noted.,"Responses to vaccination were assessed using ASC, ALS, serolgy and WGLF.  Only DFA-I-specific IgA in serum and WGLF showed clear evidence of a dose-response correlation [Ref206:Daley et al., 2007].   ","Nonserious adverse events were recorded in nearly all subjects with equal numbers in vaccine and placebo recipients [Ref206:Daley et al., 2007].","The vaccine was designed to work against enterotoxigenic E. coli (ETEC), but no challenge was performed due to sole interest in immune responses [Ref206:Daley et al., 2007].","The vaccine was tested in Phase 1 studies for potential inclusion in a polyvalent oral vaccine.  In order to cover the widest range of ETEC subtypes, any poetential vaccine should contain at least CFA-I, CFA-II, and CFA-IV components. This was one of three vaccines involved in the study [Ref206:Daley et al., 2007].  ",10,0,,,,,,
334,7,262,"Immunization with CVD 1203 clearly stimulated production of S-IgA antibodies to S. flexneri 2a LPS in tears [Ref653:Noriega et al., 1994]. ",43,Hartley,"33 guinea pigs were randomly allocated to receive orogastrically 10 CFU of CVD 1203 or control strain E. coli HS. A second immunization was given 15 days later. Tears were collected from 10 guinea pigs (5 immunized with CVD 1203 and 5 immunized with E. coli HS) on days 7, 14, and 21 after the first orogastric dose to measure secretory immunoglobulin A (S-IgA) antibodies against S. flexneri 2a LPS by enzyme-linked immunosorbent assay [Ref653:Noriega et al., 1994]. 
",,"","Full-blown keratoconjunctivitis developed in 16 of 17 control animals orogastrically vaccinated with the placebo (a 94% attack rate), in contrast to only 3 of 16 guinea pigs immunized with two spaced orogastric doses of CVD 1203 (a 19% attack rate) [Ref653:Noriega et al., 1994]. ",Not noted. ,"On the 28th day after the first immunization, 16 vaccinated guinea pigs and 17 control guinea pigs were challenged with 5 x 10^7 CFU of the wild-type 2457T strain in 10 ,ul [Ref652:Noriega et al., 1996]. ","",10,0,,,,,,
148,2,117,"",25,Human,"Vaccination Protocol: Vaccination Protocol: Ninety eight healthy adult volunteers (40 men, 58 women) aged 18-49 years were studied. Vaccine doses were prepared in 200ml of Cera Vacx, a buffer solution in order to neutralize gastric acid. The vaccine was tested initially by preforming dose-escalation studies to determiine the highest, safe and tolerated dose. Initially, it was administered using 5*10^7, 5*10^8, and 5*10^9 cfu. The highest dose was used in comparison with placebo. Blood was collected from volunteers 3, 7, 10, 13 days after each dose of vaccine or placebo, and the hightest value used as 'peak' titre or count (Daley et al., 2007). ",oral ,Not noted. ,"Responses to vaccination were assessed using ASC, ALS, serolgy and WGLF. ALS and WGLF responses were consistently clearer than those of ASC and serum IgA (Daley et al., 2007). ","Nonserious adverse events were recorded in nearly all subjects with equal numbers in vaccine and placebo recipients (Daley et al., 2007). ","The vaccine was designed to work against enterotoxigenic E. coli (ETEC), but no challenge was performed due to sole interest in immune responses (Daley et al., 2007). ","The vaccine was tested in Phase 1 studies for potential inclusion in a polyvalent oral vaccine. In order to cover the widest range of ETEC subtypes, any poetential vaccine should contain at least CFA-I, CFA-II, and CFA-IV components. This was one of three vaccines involved in the study (Daley et al., 2007). ",10,0,,,,,,
150,15,118,"",25,Conventionally bred pigs (Belgian Landrace x PiÃ©train).,"In the first experiment, 23 pigs were used.  One week post-weaning, they were divided into 4 groups and were all injected at the left site of the neck with 250 Î¼g of pcDNA3-rpGM-CSF. Seven and 28 days later (days 0 and 21 post primary immunization (ppi)), the pigs were immunized at the pcDNA3-rpGM-CSF injection site with 500 Î¼g of pWRGFaeGopt, pWRGFaeGopt supplemented with 100 Î¼g pJV2004 and 100 Î¼g pJV2005 (collectively referred to as the LT vectors), pWRGFaeGopt supplemented with 5 Î¼g of 1Î±,25(OH)2D3, or the empty pWRG7079 vector.  At day 42 ppi, 4 pigs of both the pWRGFaeGopt and the pWRGFaeGopt + LT group and 2 pigs of both the pWRGFaeGopt + vitD3 and the pWRG7079 group received an identical booster immunization, whereas the remaining pigs (3 pigs of each immunized group and 2 pigs of the pWRG7079 group) were orally boosted with 1 mg F4 fimbriae diluted in 10 ml PBS during 3 successive days (days 42, 43 and 44 ppi, respectively). The animals were deprived of food and water from 3 h before till 2 h after the oral immunization. 
In the second experiment, 26 pigs were used. One week after weaning, 6 pigs were injected in the neck with sterile PBS and the other pigs with 250 Î¼g of pcDNA3-rpGM-CSF. Seven and 28 days later (days 0 and 21 ppi), the pigs were injected at the same site with PBS or 500 Î¼g of pWRGFaeGopt, pWRGFaeGopt supplemented with 100 Î¼g of each LT vector, pWRGFaeGopt supplemented with 5 Î¼g of 1Î±,25(OH)2D3, or pWRG7079. The pigs were euthanized 24 or 48 h after the second immunization [Ref207:Melkebeek et al., 2007].",i.d.,Not noted.,"In a first experiment, i.d. DNA vaccination efficiently induced a serum IgG response; however, a clear FaeG-specific serum IgA or IgM response could not be observed. After the oral boost, the intestinal FaeG-specific IgA and IgM response were variable and an improvement by DNA priming could only be observed for a few pigs. IgG ASC could be detected in the Mes LN of the DNA primed and especially of the adjuvanted groups. Moreover, although the presence of the F4R is required to induce IgA and IgM ASC in the Mes LN and other GALT of naÃ¯ve pigs following multiple oral F4 administrations, intestinal responses in DNA primed-orally boosted pigs were independent of the F4R status, suggesting an increased responsiveness of the parenterally primed animals to oral immunization. In contrast to other studies in mice and pigs demonstrating that vitD3 enhances IgG but also IgA responses in the inductive sites of the GALT following parenteral immunization, addition of vitD3 to the FaeG DNA vaccine failed to prime for the intestinal mucosal IgA response that is desired to protect piglets against an F4+ ETEC infection.
In a second experiment, the induction of cellular responses following i.d. DNA vaccination was evaluated. A clear FaeG-specific lymphocyte proliferation could only consistently be observed in the presence of the LT vectors. 
In conclusion, even after the oral F4 boost, priming of an intestinal mucosal antibody response remained weak, varied among the pigs and seemed to require co-administration of the LT vectors or vitD3. Moreover, even in presence of these adjuvants, the secretory IgA response that is needed to be protective against ETEC was not demonstrated. Therefore, further research should be directed towards enhancing the IgA response following DNA vaccination [Ref207:Melkebeek et al., 2007]. ",Not noted.,N/A,"A first experiment was performed to confirm the induction of an F4-specific systemic immune response by immunization with pWRGFaeGopt or pWRGFaeGopt in combination with the LT vectors as well as the priming of an F4-specific intestinal mucosal IgG response by immunization with these vectors followed by an oral F4 boost. The immunomodulating adjuvant vitD3 was also evaluated to enchance the mucosal priming by the FaeG DNA vaccine and/or modulate the induced response towards an IgA response.
A second experiment was performed to examine the induction of cellular immune responses (FaeG-specific lymphocyte proliferation and cytokine mRNA expression) in the local draining lymph node following priming with the FaeG DNA vaccine and to evaluate the influence of the intradermal LT vectors or vitD3 on these cellular responses [Ref207:Melkebeek et al., 2007]. ",10,0,,,,,,
151,12,122,"",25,Calves,"In Trial 1, on day 0 and day 28 calves were vaccinated i.m. with Int280-Î³. In Trial 2, calves were vaccinated with Int280-Î² on days 0 and 28 [Ref208:van et al., 2007]. ",i.m.,Not noted.,"Subunit vaccines based on intimin polypeptides induced serum IgG and variable salivary IgA responses following parenteral immunisation of cattle. However, such responses did not confer significant resistance to intestinal colonisation by EHEC strains expressing the homologous antigens, even after boosting of such animals by the mucosal route [Ref208:van et al., 2007]. ",Not noted.,"In Trial 1, on day 42 oral challenge was administered with 2.9 Â± 0.78 Ã— 10^10 colony forming units (CFU) of EHEC O157:H7 strain EDL933 nalR. In Trial 2, on day 42 oral challenge was performed using 2.8 Â± 0.67 Ã— 10^10 CFU EHEC O26:H- strain STM2H2 [Ref208:van et al., 2007].","While it has been shown that i.n. immunisation of cattle with a carboxyl-terminal 64 kDa intimin polypeptide adjuvated with a low-toxicity derivative of E. coli heat-labile toxin induces antigen-specific serum IgG1 and salivary IgA, the protective efficacy of intimin-based subunit vaccines in cattle has yet to be tested. The present study assessed the protective efficacy of subunit vaccines comprising of intimin polypeptides against intestinal colonisation of cattle by EHEC strains of serotypes O157:H7 and O26:H- following parenteral and mucosal immunisation [Ref208:van et al., 2007].",10,0,,,,,,
152,12,121,"",25,Calves,"In Trial 1, on day 0 and day 28 calves were vaccinated with Efa-1 [Ref208:van et al., 2007]. ",i.m.,Not noted.,"Subunit vaccines based on Efa-1 polypeptides induced serum IgG and variable salivary IgA responses following parenteral immunisation of cattle. Such responses did not confer significant resistance to intestinal colonisation by EHEC strains expressing the homologous antigens, even after boosting of such animals by the mucosal route [Ref208:van et al., 2007]. ",Not noted.,"In Trial 1, on day 42 oral challenge was performed with 2.9 Â± 0.78 Ã— 10^10 colony forming units (CFU) of EHEC O157:H7 strain EDL933 nalR [Ref208:van et al., 2007].","The present study assessed the protective efficacy of subunit vaccines comprising of Efa-1 polypeptides against intestinal colonisation of cattle by EHEC strains of serotypes O157:H7 and O26:H- following parenteral and mucosal immunisation [Ref208:van et al., 2007].",10,0,,,,,,
153,12,120,"",25,Calves,"In Trial 3, calves were vaccinated with EHEC O157 bacterin on days 0 and 28, combined with i.n. vaccination on days 28 and 42 [Ref208:van et al., 2007].  ",i.m.,Not noted.,"An inactivated vaccine comprising of formalin-killed EHEC O157:H7 strain EDL933nalR proved to be ineffective when administered by the combined parenteral and mucosal regime, despite efficient induction of anti-LPS and anti-Int280-Î³ IgG1 responses [Ref208:van et al., 2007].",Not noted.,"The calves were challenged on day 56 with 1.93 Â± 0.78 Ã— 10^10 CFU EDL933nalR [Ref208:van et al., 2007].","EHEC O157:H7 strain EDL933 was isolated in 1982 following an outbreak of haemorrhagic colitis in the USA. EHEC O26:H- strain 193 was isolated in 1962 in the USA from a calf with diarrhoea. Strains EDL933nalR and 193nalR are spontaneous nalidixic acid resistant derivatives of EDL933 and 193, respectively, and exhibit normal growth and adhesion characteristics in vitro and efficiently colonise the intestines of calves [Ref208:van et al., 2007].",10,0,,,,,,
154,3,114,"Campylobacter-specific intestinal IgA responses are dependent on the use of LT, whereas IgA and IgG responses in serum are not. Intestinal lavage fluid collected from sham-immunized animals at 7 d post-vaccination have no detectable levels of Campylobacter- or LT-specific secretory IgA (sIgA) or IgG. When CWC is administered over a 10,000-fold range of doses, only 20% of the mice immunized with the low or intermediate doses mount a significant Campylobacter-specific sIgA response. In contrast, administering the same doses with LT resulted in a substantial enhancement of the sIgA response to vaccine-associated Campylobacter antigens in all vaccination groups [Ref205:Baqar et al., 1995b].",24,BALB/c,"Mice were orally immunized in a three-dose primary series with CWC vaccine particles alone or in combination with a mucosal adjuvant, the heat-labile enterotoxin of Escherichia coli (LT) [Ref205:Baqar et al., 1995b].",p.o.,"Ninety percent of control animals remain colonized for 9 days post-challenge. A similar colonization pattern is observed in mice vaccinated with LT alone. Clearance of challenge organisms from mice receiving CWC vaccine alone appear to be dependent on the amount of vaccine administered. Although 80% of the mice receiving the highest vaccine dose cleared the infection within 3 days of challenge, the remaining 20% were colonized for the remainder of the study period [Ref205:Baqar et al., 1995b].","Colonization resistance was induced over a broad range of vaccine doses when LT was included. However, only the highest dose of CWC alone gave comparable levels of protection. Both formulations provided equivalent protection against systemic spread of challenge organisms. These results indicate that both whole-cell vaccine formulations deserve further evaluation as candidate vaccines and also highlight the potential value of mucosal adjuvants, like LT, in enteric vaccine development [Ref205:Baqar et al., 1995b].","Both the CWC and CWC-LT vaccine formulations are well tolerated, with no weight loss or signs consistent with toxicity in immunized animals. Histopathological examination of the intestinal mucosa and other organ systems following vaccination fails to detect evidence of tissue damage or severe inflammation [Ref205:Baqar et al., 1995b].","At ~4 wks post-vaccination, mice were challenged orally with C. jejuni, and duration of colonization was determined by the monitoring of fecal shedding. Efficacy was determined by measuring the degree of protection afforded against intestinal colonization and systemic dissemination of challenge organisms [Ref205:Baqar et al., 1995b].","Inactivated Campylobacter whole-cell vaccines (CWC) must be given orally in large doses to be effective. Drawbacks could be overcome by the coadministration of LT [Ref205:Baqar et al., 1995b].",10,0,,,,,,
289,3,226,"Serum IgG responses specific for PEB1-ss were induced by pBR-derived and runaway plasmids, with 100 and 90% seroconversion, respectively, at a 1:500 dilution of anti-sera as measured by Western blot analysis, while the PEB1-ss::HlyA fusion plasmid induced serum IgG in only 20% of the mice [Ref558:Sizemore et al., 2006]. ",24,"Female, BALB/c Mouse Specific Pathogen Free (MSP) 7â€“9 weeks of age from Taconic","Mice that had been acclimated for 5 days were vaccinated with freshly prepared inocula on days 1 and 12 of the experiment by pipet feeding. The target concentration for this experiment was 1â€“2.5E8 in 50 Î¼l [Ref558:Sizemore et al., 2006].",,"MGN4735 was able to colonize the intestine to a high level over the entire test period of 9 days post-inoculation while those mice that survived challenge with 81-176 cleared the infection [Ref558:Sizemore et al., 2006].","Although significant levels of anti-PEB serum IgG were induced, no protection against oral Campylobacter jejuni challenge was observed [Ref558:Sizemore et al., 2006].",no adverse side effects were observed,"Challenge of vaccinated BALB/c mice was based on the model developed by Baqar et al. [Ref205:Baqar et al., 1995b]. C. jejuni strain 81-176 served as the challenge strain in the oral model [Ref558:Sizemore et al., 2006]. ","Three live attenuated Î”phoP/Q Salmonella enteric serovar Typhimurium strains expressing PEB1 minus its signal sequence (PEB1-ss) from three different plasmids: a pBR-based asd plasmid, an arabinose-based runaway plasmid, which each expressed PEB1-ss in the bacterial cytosol, and a PEB1::HlyA fusion plasmid that directs secretion of PEB1-ss into the extracellular milieu are described above [Ref558:Sizemore et al., 2006].",10,0,,,,,,
156,3,124,"Stimulation of FlaA-specific intestinal secretory IgA (sIgA) responses required immunization with higher doses of MBP-FlaA or co-administration of lower doses with the adjuvant [Ref197:Lee et al., 1999].",24,BALB/c,"Mice were immunized intranasally with two doses of 3 to 50 mg of MBP-FlaA, given 8 days apart, with or without 5 mg of the mutant E. coli heat-labile enterotoxin (LTR192G) as a mucosal adjuvant [Ref197:Lee et al., 1999].",i.n.,"The results showed that, when challenged with bacteria, there was a reduction in colonization as early as 3 days after infection and that no campylobacter organisms could be detected in stools by 7 days post-feeding [Ref197:Lee et al., 1999].","The full range of MBP-FlaA doses were effective in eliciting antigen-specific serum IgG responses, and these responses were enhanced by adjuvant use, except in the highest dosing group. When vaccinated mice were challenged intranasally 26 days after immunization, the best protection was seen in animals given 50 mg of MBP-FlaA plus LTR192G. The protective efficacies of this dose against disease symptoms and intestinal colonization were 81.1 and 84%, respectively. When mice which had been immunized intranasally were challenged orally with 8 x 10^10, 8 x 10^9, or 8 x 10^8 cells of strain 81-176, the protective efficacies against intestinal colonization at 7 days postinfection were 71.4, 71.4, and 100%, respectively [Ref197:Lee et al., 1999].","Animals were monitored for sickness and death for 5 days and only minimal adverse side effects were encountered [Ref197:Lee et al., 1999].","Mice were intranasally challenged after the second vaccination. Fecal excretion of C. jejuni was monitored daily for 10-14 days after challenge by culturing fecal homogenates. Putative colonies were confirmed by morphology and oxidase reactions. Mice were challenged orally with 0.5 ml of various doses of C. jejuni. Fecal excretion was monitored as described above for 7-9 days [Ref197:Lee et al., 1999].","It is interesting that antibodies generated during natural infection by either strain 81-176 or strain VC167 appear to react more strongly to glycosylated flagellins isolated from Campylobacter spp. than to unglycosylated, recombinant flagellins isolated from E. coli. Immunization with the recombinant fusion protein lacking post-translational modifications may lead to antibody production against epitopes which are less immunogenic in the native molecule due to differences in folding and/or masking by the carbohydrate moiety but are, nonetheless, capable of eliciting a protective immune response. Further evaluation of this recombinant flagellin is ongoing as a vaccine in a ferret diarrheal disease model [Ref197:Lee et al., 1999].",10,0,,,,,,
155,17,123,"",8,"","15 lambs were vaccinated with 45/20 bacterin, and a control group remained unvaccinated. Revaccinations were performed 18 weeks later.  At regular intervals after vaccination and revaccination, blood samples were taken and animals were examined for genital lesions  [Ref210:Blasco et al., 1993]. 
","","","Two weeks after challenge, ten of the 15 control rams excreted B. ovis. All animals were slaughtered 15 weeks after the challenge inoculation and subjected to bacteriological and histological examinations. A ram was classified as protected if no B. ovis was isolated from any of the 13 organs sampled at necropsy. Significant levels of protection in comparison with the control group were obtained by vaccination with 45/20 bacterin (PC 0.05)  [Ref210:Blasco et al., 1993].
","One ram died from enterotoxemia during the course of the experiment  [Ref210:Blasco et al., 1993]. 
","Challenge inoculations were performed 31 weeks after the second vaccination with a virulent strain of B. ovis obtained from a naturally infected ram. Each ram received a total volume of 60 uL ( 1 x 10^9 CFU), as shown by viable cell counts made on the day of inoculation), both conjunctivally (30 uL) and preputially (30 uL)  [Ref210:Blasco et al., 1993].","",10,0,,,,,,
157,3,135,"",8,VTRM1,"Five groups of mice, (eight to nine weeks old), were vaccinated with the following live organism vaccines.  These included: VTRM1, VTRS1, and Rev 1 (5 x 10^4 CFU); strain 19 (S19) (5 x 10^3 CFU); and RB51 (3 x 10^8 CFU).  Each vaccine was delivered intravenously except RB51 which was administered intraperitoneally.  All vaccines except RB51 were obtained directly from frozen stock cultures. Large doses of RB51 were required, therefore stock cultures were inoculated onto plates.  After three days of culture and growth after 3 days was diluted to the appropriate concentration  [Ref216:Winter et al., 1996].  ","","","Strains VTRM1 and VTRS1 were effective in inducing protection against virulent strains of heterologous, and homologous, Brucella spp.  Vaccination with either strain conferred substantial protection against exposure to virulent laboratory strains of B melitensis, B abortus, and B suis of biovars 1 and 4.  VTRM1 provided protection against B. ovis  [Ref216:Winter et al., 1996].","","Eight weeks after the initial vaccination, mice were injected IV with 5x10^4 CFU of Brucella.  The time interval between IV injection and euthanasia was two weeks for all Brucella strains with the exception of B abortus 8-954 and 2-1230; for these strains, a one-week time interval was chosen.  Mice were euthanized by CO2 asphyxiation.  Individual spleens were homogenized, the homogenate diluted serially, and plated on Schaedler blood agar.  B abortus, B melitensis, or B suis colonies were counted after three days of incubation; B. ovis colonies were counted after four to five days of incubation at 37 C under 10% CO2  [Ref216:Winter et al., 1996].","",10,0,,,,,,
158,3,136,"",8,"","Mice, (eight to nine weeks old), in experimental groups of five, were vaccinated with live vaccines: VTRM1, VTRS1, and Rev 1 with 5 x 10^4 CFU  (IV); strain 19 (S19) 5 x 10^3 CFU given IV; and RB51, 3 x 10^8 CFU given i.p.  All vaccines except RB51 were obtained from frozen stock cultures. The large dose of RB51 administered required that stock cultures be cultured on plates, and after three days diluted to the appropriate concentration  [Ref216:Winter et al., 1996].  ","","","VTRM1 and VTRS1 were effective in inducing protection against virulent strains of heterologous, as well as the homologous, Brucella spp.  Vaccination with either strain conferred protection against challenge exposure with virulent laboratory strains of B. abortus, B. melitensis, and B. suis of biovars 1 and 4.  VTRM1 also provided protection against B. ovis  [Ref216:Winter et al., 1996]. ","","Eight weeks after the initial vaccination, mice were challenged IV with 5x10^4 CFU of Brucella.  From challenge exposure to euthanasia was 2 weeks for all Brucella strains except B abortus 8-954 and 2-1230. For these strains a 1-week interval was used.  Mice were euthanized with CO2.  Individual spleens were homogenized, diluted serially, and plated on Schaedler blood agar.  Colonies were counted after incubation for 3 days (B. abortus, B. melitensis, and B. suis) or 4 to 5 days (B. ovis) at 37 C under 10% CO2  [Ref216:Winter et al., 1996].","",10,0,,,,,,
219,3,186,"",31,BALB/c mice,"Systemic immunization
In order to determine the P6-specific and peptide-specific T cell responses, BALB/c mice (two animals per group) were immunized by footpad injection with one of the following: (1) 20 Î¼g P6 emulsified with CFA/IFA, (2) 100 Î¼g peptide 5 emulsified with CFA/IFA, (3) 100 Î¼g B + T peptide emulsified with CFA/IFA, (4) 100 Î¼g B + T peptide adsorbed onto alum. All mice were immunized with two doses 1 week apart and were sacrificed 7 days after the final injection, with the following exception. One group was immunized with a single dose of B + T peptide with alum, and sacrificed 10 days later [Ref385:McMahon et al., 2005].

BALB/c mice, 6â€“8 weeks old, were maintained under SPF conditions until the start of the bacterial challenge. Animals were immunized by either (1) intraperitoneal (i.p.) injections administered on days 0, 7 and 14; or (2) a mucosal regimen as previously described involving intra Peyer's patch (IPP) inoculation on day 0 and an intra tracheal (IT) boost on day 14 [20]. The peptides used in these studies were peptide 5 (T cell epitope) and the B + T peptide (Table 1). For i.p. immunization, the inoculum was prepared by emulsification with an equal volume of IFA such that each animal received either 20 Î¼g or 100 Î¼g of peptide per inoculation. For mice immunized by the mucosal regime, the inoculum for the IPP injections was prepared in IFA as for the i.p. immunizations except that the final inoculum concentrations for administration were 20 Î¼g/10 Î¼l and 100 Î¼g/10 Î¼l. For IT immunization, the peptides were prepared in PBS only, such that the final volume administered was 20 Î¼l/mouse. Mice receiving an IPP immunization were sedated with ketamine plus xylazine as previously described, the small intestines exposed via an abdominal incision and the inoculum delivered to each Peyer's patch by serosal injection and the incision sutured [20]. Prior to IT administration of the inoculum, the mice were sedated with 20 mg Saffan (Pitman-Moore, Nth Ryde, NSW, Australia) per kg body weight administered intravenously into the tail vein. The inoculum, in a volume of 20 Î¼l, was introduced into the lungs via an intratracheal cannula and dispersed with two 0.3 ml volumes of air. Non-immune groups were a combination of sham immunized (with PBS and IFA, as applicable) or untreated mice. There were no differences observed in the responses to challenge of untreated and sham immunized mice [Ref385:McMahon et al., 2005].",,"","T cells from BALB/c immunized with P6 recognize a single, immunodominant region, represented by 15 amino acids (residues 41â€“55) of the P6 protein. T cells isolated from mice primed in vivo with the peptide responded following in vitro stimulation with either the peptide or with the whole P6 molecule. Substitution of single amino acids and N or C terminal truncations of the dominant peptide resulted in complete abrogation of the response, implicating their importance to the T cell response. Furthermore, mucosal immunization of mice with a chimeric peptide that encompassed the dominant T cell epitope and a putative B cell epitope resulted in enhanced bacterial clearance following pulmonary challenge with NTHI [Ref385:McMahon et al., 2005].","","Mice immunized for acute pulmonary challenge received a bolus of 1 Ã— 106 cfu of NTHI strain 289 in 20 Î¼l of PBS into the lungs via delivery through a cannula inserted into the trachea as described above for delivery of the IT immunization . The bacteria were dispersed with two 0.3 ml volumes of air. At 4 h post-challenge, the animals were killed by an overdose of pentobarbital sodium administered by i.p. injection. The trachea was exposed through the neck and bronchoalveolar lavage (BAL) was obtained by instilling 0.5 ml of PBS into the lungs via a cannula. The resulting BAL was recovered by aspiration of fluid from the intratracheal cannula. After obtaining BAL, the intact lungs were excised, connective tissue and heart removed, placed in 2 ml of PBS, and homogenized in a tissue homogenizer. The BAL and the lung homogenate were assessed for bacterial clearance by plating of serial dilutions for cfu determination [Ref385:McMahon et al., 2005].","",10,0,,,,,,
159,3,137,"",8,"","Groups of female BALB/c mice (Harlan Sprague-Dawley) were immunized by either i.n. or s.c. with purified B. melitensis LPS or LPS-GBOMP noncovalent complex vaccine. Control mice were immunized subcutaneously with sterile saline. Briefly, 25 Âµl of vaccine containing either 10 Âµg LPS or 10 Âµg LPS and 7.5 Âµg GBOMP contained in sterile saline was administered dropwise into the nostrils of anesthetized mice. Two doses of vaccine were given four weeks apart. For subcutaneous immunization, mice were given 10 Âµg vaccine in 200 Âµl sterile saline under the right hind thigh. A second dose of vaccine was given four weeks after the first dose. Blood was collected from five euthanized mice from each group four weeks after the first dose and four weeks after the second dose of vaccine. Sera were collected and stored at â€“20Â°C until analyzed for antibody.  An enzyme-linked immunosorbent assay (ELISA) was used  [Ref219:Bhattacharjee et al., 2006].","","","Mice immunized subcutaneously with LPS vaccine showed significant protection against infection of the spleen (P < 0.001), liver (P < 0.001), and lungs (P < 0.05).","","Groups of immunized mice (15 to 20 mice in each group) were challenged intranasally 4 weeks after the second dose of vaccine with 1x10^4 CFU of B. melitensis 16M suspended in 30 Âµl phosphate-buffered saline (PBS) (0.01 M sodium phosphate, 0.14 M sodium chloride; pH 7.5) as described previously (21). Blood, spleens, lungs, and livers were aseptically collected from anesthetized mice 8 weeks postchallenge. The numbers of Brucella CFU in organs were determined by dilution and culture on brucella agar as described previously (17). Serum was separated and stored at â€“20Â°C until it was used  [Ref219:Bhattacharjee et al., 2006].","",10,0,,,,,,
241,3,153,"CD8 T cells were boosted more effectively than CD4 T cells with the ratio of elicited CD8 to CD4 cells for the immunodominant CD8 epitope in Gag increasing with boosts. The most effective boost for CD8 T cells resulted in the greatest skewing of the CD8 to CD4 T cell ratio. This could represent better access of CD8 than CD4 T cells to APCs [Ref323:Liu et al., 2006]. The doseâ€“response studies showed good increases for antigen expression with increasing MVA dose. A 1000-fold increase in the dose of MVA resulted in a 300-fold increase in the frequency of antigen-expressing cells. In contrast, doseâ€“response studies for in vivo immunogenicity showed <10-fold increases in elicited T cells and Ab for 100â€“1000-fold increases in the dose of inoculated MVA. Shallow doseâ€“response curves for immunogenicity were observed post priming as well as post boosting of an MVA or a DNA prime [Ref323:Liu et al., 2006].",26,BALB/c,"Female BALB/c mice were used for immunizations. All were conducted on anesthetized mice. Immunizations with MVAs were accomplished by inoculating the desired amount of MVA into a single quadriceps muscle. Immunizations with DNA were accomplished by injecting the desired amount of DNA into the quadriceps, half in each leg [Ref323:Liu et al., 2006].",,"Temporal CD8 responses were conducted in BALB/c mice using MVA. Responses were steady for >10 weeks (>6 weeks post-MVA) [Ref323:Liu et al., 2006].","","No adverse effects were encountered [Ref323:Liu et al., 2006].","","",10,0,,,,,,
160,2,115,"",25,Human,"Vaccination Protocol: Ninety eight healthy adult volunteers (40 men, 58 women) aged 18-49 years were studied. Vaccine doses were prepared in 200ml of Cera Vacx, a buffer solution in order to neutralize gastric acid. The vaccine was tested initially by preforming dose-escalation studies to determiine the highest, safe and tolerated dose. Initially, it was administered using 5*10^7, 5*10^8, and 5*10^9 cfu. The highest dose was used in comparison with placebo. Blood was collected from volunteers 3, 7, 10, 13 days after each dose of vaccine or placebo, and the hightest value used as 'peak' titre or count (Daley et al., 2007). ",oral ,Not noted.,"Responses to vaccination were assessed using ASC, ALS, serolgy and WGLF. ALS and WGLF responses were consistently clearer than those of ASC and serum IgA (Daley et al., 2007). ","Nonserious adverse events were recorded in nearly all subjects with equal numbers in vaccine and placebo recipients (Daley et al., 2007). ","The vaccine was designed to work against enterotoxigenic E. coli (ETEC), but no challenge was performed due to sole interest in immune responses (Daley et al., 2007). ","The vaccine was tested in Phase 1 studies for potential inclusion in a polyvalent oral vaccine. In order to cover the widest range of ETEC subtypes, any poetential vaccine should contain at least CFA-I, CFA-II, and CFA-IV components. This was one of three vaccines involved in the study (Daley et al., 2007). ",10,0,,,,,,
