"c_pathogen_id","c_pathogen_name","c_taxon_id","c_disease_name","c_host_range","c_organism_type","c_preparation_vo_id","c_vaccine_vo_id","c_protein_vo_id","c_pathogenesis","c_protective_immunity","c_gram"
145,Infectious Bronchitis Virus (IBV),11120,Infectious Bronchitis,"It is generally accepted that chickens are the most important natural hosts of IBV; all ages of chickens can be infected. IBV, or closely related coronaviruses have also been isolated from other species such as turkeys, pheasants, quail and partridges [Ref1569:Infectious-bronchitis.net].",virus,,,,"Infectious bronchitis virus initially infects and replicates in the upper-respiratory tract causing the loss of protective cells lining the sinuses and trachea. After a brief viremia, the virus can be detected in the kidneys, reproductive tract, and cecal tonsils. Some strains of IBV, which are referred to as nephropathogenic are known to cause lesions in the kidney. Renal damage associated with different IB strains is an increasingly important feature of IB infections, especially in broiler chickens [Ref1569:Infectious-bronchitis.net].",,
146,Infectious Bursal Disease Virus (IBDV),10995,Infectious Bursal Disease,Chickens,virus,,,,"The virus is attracted to lymphoid cells and especially those of B-lyphocyte origins. Young birds at around two to eight weeks of age that have highly active bursa of Fabricius are more susceptible to disease. Birds over eight weeks are resistant to challenge and will not show clinical signs unless infected by highly virulent strains.
After ingestion, the virus destroys the lymphoid follicles in the bursa of Fabricius as well as the circulating B-cells in the secondary lymphoid tissues such as GALT (gut-associated lymphoid tissue), CALT (conjunctiva), BALT (Bronchial) cecal tonsils, Harderian gland, etc. Acute disease and death is due to the necrotizing effect of these viruses on the host tissue. If the bird survives and recovers from this phase of the disease, they remain immunocompromised which means they are more susceptible to other diseases and vaccination in the face of outbreak will not be effective [Ref1570:Wiki: Infectious Bursal Disease].","Passive immunity protects against disease, as does previous infection with avirulent strains. In broiler farms, breeder flocks are immunized against IBD so that they would confer protective antibodies to their progenies which would be slaughtered for consumption before their passive immunity wears out [Ref1570:Wiki: Infectious Bursal Disease].",
147,Piscirickettsia salmonis,1238,"Salmon Rickettsial Disease, Piscirickettsiosis","The transmission of P. salmonis in natural infections is horizontal or fish-to-fish and no vector is required. The reservoir for the bacterium is unknown but may include one or more species of fish or other aquatic animals. The principal hosts for P. salmonis are salmonid fish. Coho salmon was the species involved in the first recorded outbreaks of piscirickettsiosis in Chile. The disease has also been reported in rainbow trout, cherry salmon, Oncorhynchus masou (Walbaum), and Atlantic salmon in Chile [Ref1571:Fryer and Hedrick, 2003].",G- bacterium,,,,"Microscopic lesions caused by P. salmonis in naturally acquired infections can be found in numerous organs and tissues characteristic of a systemic or septicaemic condition. Although the sequential development of the naturally acquired infections has not been reported, initial infections presumably commence when the physical barriers of the skin and/or gills are breached by the bacterium (Almendras et al. 1997; Smith, Pizarro, Ojeda, Contreras, Oyanedel & Larenas 1999). Replication of the bacterium results in raised discoloured areas on the skin that may then progress to shallow ulcers, as observed under field conditions and following experimental applications of the bacterium with filter paper patches to the skin (Smith, Contreras, Larenas, Aguillon, Garc̩s, Perez & Fryer 1997). Direct dispersion of the bacterial suspension onto the gills also initiates local infections that spread via the blood (haematogenous) and then via major vessels to the parenchyma of numerous organs (Almendras et al. 1997). A serosal spread of the bacterium is more characteristic of infections induced by intraperitoneal injections of the bacterium. In injected fish, the capsules of the major organs in the peritoneum are sites of replication prior to invasion of the parenchyma (Almendras et al. 1997). In the later stages of infection the internal and microscopic pathological changes observed in fish exposed via different routes become similar, most likely because septicaemia eventually occurs even in cases of the serosal spread of the bacterium (Cvitanich et al. 1991). The septic nature of infections is demonstrated by the presence of infected macrophages visible in blood smears from heavily infected fish (Cvitanich et al. 1991) [Ref1571:Fryer and Hedrick, 2003].","The immune response of salmonids to P. salmonis infections remains poorly understood, but more recent studies, including successful laboratory vaccine trials, provide optimism for this approach to control of the disease. The humoral response following natural or experimental exposures to P. salmonis is weak, although anti-P. salmonis antibodies have been detected in the serum of convalescent coho salmon [Ref1571:Fryer and Hedrick, 2003].",
148,Avian Encephalomyelitis Virus,70796,Avian Encephalomyelitis,"Chickens, pheasants, coturnix quail and turkeys have all been susceptible to natural infection with the avian encephalomyelitis virus. Experimentally, ducklings, poults, young pigeons, and guinea fowl have been infected with AEV [Ref1573:Calneck, B. W., 2003].",virus,,,,,"Birds that have recovered from infection develop antibodies that can neutralize the virus [Ref1573:Calneck, B. W., 2003].",
150,Chicken Anemia Virus,12618,"Chicken infectious anemia, Blue wing disease, Anemia dermatitis syndrome, Hemorrhagic aplastic anemi",Chickens,virus,,,,"The principal sites of CAV replication are hemocytoblasts in the bone marrow, precursor T cells in the cortex of the thymus, and CD8 cells in the spleen. Replication in the first leads to anemia, while replication in the latter two causes immunosuppression. Neutralizing antibodies are detectable 21 days after infection and clinical, hematologic, and pathologic parameters return to normal ~35 days after infection. CAV infection has adverse effects on proliferative responses of spleen lymphocytes and on the production of interleukin-2 and interferons by splenocytes. Infection can cause a marked decrease in generation of antigen-specific cytotoxic T cells directed against other pathogens. In addition to T-cell defects, macrophage functions such as Fc-receptor expression, phagocytosis, and antimicrobial activity may be impaired. Subclinical, horizontally acquired infection with CAV in broiler progeny of seropositive parent flocks may be associated with impaired economic performance [Ref1575:Merck Vet Manual: Chicken Anemia Virus Infection].",,
151,Eastern Equine Encephalitis Virus,11021,Encephalitis,"EEE is capable of infecting a wide range of animals including mammals, birds, reptiles and amphibians. The virus is maintained in nature through a bird - mosquito cycle. There are two mosquito species primarily involved in this portion of the cycle, they are Culiseta melanura and Cs. morsitans. These mosquitoes feed on the blood of birds. The amount of virus found in nature increases throughout the summer as more birds and more mosquitoes become infected. Transmission of EEEV to mammals occurs via other mosquitoes. These other mosquitoes are called bridge vectors because they bring the virus from avian populations to mammalian populations. They include Coquiletidia perturbans, Aedes vexans, Ochlerotatus sollicitans and Oc. canadensis. All these mosquitoes are primarily mammalian feeders [Ref1576:Wiki: Eastern Equine Encephalitis].",virus,,,,,,
152,Erysipelothrix rhusiopathiae,1648,Erysipelas,"The domestic pig is the most important reservoir of E. rhusiopathiae. E. rhusiopathiae and infections caused by this organism are worldwide in distribution, and affect a wide variety of vertebrate and invertebrate species, including swine, sheep, cattle, horses, dogs, bears, kangaroos, reindeer, mice, rodents, seals, sea lions, cetaceans, mink, chipmunks, crustaceans, fresh and salt water fish, crocodiles, caymen, stable flies, houseflies, ticks, mites, mouse lice, turkeys, chickens, ducks, geese, guinea fowl, pigeons, sparrows, starlings, eagles, parrots, pheasants, peacocks, quail, parakeets, mud hens, canaries, finches, siskins, thrushes, blackbirds, turtledoves and white storks. Human disease can originate from an animal or environmental source [Ref1578:Wang et al., 2010].",G+ bacterium,,,,,,
153,Feline calicivirus,11978,Feline Respiratory Infections,"Feline calicivirus infection is widespread in the general cat population. It is generally accepted that there are no known reservoirs or alternative hosts for FCV, and in utero transmission does not seem to occur [Ref1579:Radford et al., 2007].",virus,,,,"Cats can be infected with FCV via the nasal, oral or conjunctival routes. The virus replicates mainly in the oral and respiratory tissues, although some strains vary in their tissue tropisms and pathogenicity, such that virus has also been found in visceral tissues, feces and occasionally in urine. The significance of this to transmission is unknown but is thought to be minimal. Oral ulceration is the most consistent pathological feature of FCV-induced oral and upper respiratory tract disease. Ulcers begin as vesicles, typically on the margin of the tongue but also in other locations. These subsequently rupture, with necrosis of the overlying epithelium and infiltration of neutrophils at the periphery and base. Healing generally takes place over a period of two to three weeks. Pulmonary lesions occur more rarely and appear to result from an initial focal alveolitis, leading to areas of acute exudative pneumonia and then to the development of a proliferative, interstitial pneumonia. Lesions seen in joints of cats with FCV associated lameness consist of an acute synovitis with thickening of the synovial membrane and an increase in quantity of synovial fluid within the joint. FCV can also cause systemic disease [Ref1579:Radford et al., 2007].","The immune response has a somewhat limited impact on FCV infection. It is clear that pre-existing immunity, acquired either naturally as maternal-derived antibodies (MDA) or artificially following vaccination, can reduce or eliminate the clinical signs of subsequent FCV challenge. However, such pre-existing immunity does not prevent infection and these animals may become carriers following sub-clinical infection with field virus [Ref1579:Radford et al., 2007].",
154,Feline immunodeficiency virus,11673,Feline AIDS,Felines,virus,,,,"FIV can attack the immune system of cats, much like the human immunodeficiency virus (HIV) can attack the immune system of human beings. FIV infects many cell types in its host, including CD4+ and CD8+ T lymphocytes, B lymphocytes, and macrophages. FIV can be tolerated well by cats, but can eventually lead to debilitation of the immune system in its feline hosts by the infection and exhaustion of T-helper (CD4+) cells [Ref1580:Wiki: Feline Immunodeficincy Virus].",,
155,Feline panleukopenia virus,10786,Feline Distemper,"FPV can infect felids, raccoons, mink and foxes [Ref1582:Truyen et al., 2009].",virus,,,,"The virus primarily attacks the lining of the gastrointestinal tract, causing internal ulceration and, ultimately, total sloughing of the intestinal epithelium. This results in profuse and usually bloody diarrhea, severe dehydration, malnutrition, anemia, and often death. The virus causes a decrease in the cat's white blood cells, thus compromising its immune system. Typically, it also causes a decrease in hematocrit and platelet counts on a complete blood count [Ref1581:Wiki: Feline Panleukopenia].","Antibodies are critical in the immune response to FPV, and can protect kittens from fatal infection. Active immunity is solid and long lasting and can be achieved through the use of either inactivated or modified live virus vaccines [Ref1582:Truyen et al., 2009].",
156,Feline herpesvirus 1,10334,Feline viral rhinotracheitis,"As well as domestic cats, FeHV-1 infects several other members of the Felidae [Ref1583:Gaskell et al., 2007].",virus,,,,"The natural routes of infection for FeHV-1 are via the nasal, oral, and conjunctival mucous membranes, though experimentally other routes have been investigated. Following infection, virus replication in the acute phase takes place predominantly in the mucosae of the nasal septum, turbinates, nasopharynx, and tonsils; other tissues including conjunctivae, mandibular lymph nodes and upper trachea are also often involved [Ref1583:Gaskell et al., 2007].","Immunity to FeHV-1 has generally been measured by serum virus neutralizing (VN) antibody levels, although as for other alphaherpesviruses, cell-mediated immunity is likely to be a better reflection of immune status [Ref1583:Gaskell et al., 2007].",
157,Gallid herpesvirus 1,10386,"Avian infectious laryngotracheitis, Fowl Laryngotracheitis","Like other avian herpesviruses, ILTV exhibits a very narrow host range both in vivo and in vitro. Besides domestic chickens, pheasants represent the only natural hosts. Furthermore, the virus could be isolated from peafowl, and experimental infections of turkeys have also been described [Ref1584:Fuchs et al., 2007].",virus,,,,,"ILTV infection of chickens frequently induces production of virus-neutralizing antibodies, but antibody titers correlate only poorly with protective immunity [Ref1584:Fuchs et al., 2007].",
158,Flavobacterium columnare,996,Columnaris,,G- bacterium,,,,,,
159,Mink enteritis virus,10792,Mink Enteritis,,virus,,,,,,
160,Orf Virus,10258,"Orf disease, Sore mouth (Ovine Ecthyma)","Primarily, orf is a disease of sheep and goats although it has been reported as a natural disease in the following: humans, steenbok and alpacas, chamois and thar, reindeer, musk ox, the dog, the cat, the mountain goat, bighorn sheep, dall sheep, and the red squirrel [Ref1587:Wiki: Orf disease].",virus,,,,,,
161,Pasteurella multocida,747,"Pasteurellosis, fowl cholera","P. multocida causes can cause disease in fowl, pigs, cattle, rabbits and humans [Ref1589:Harper et al., 2006].",G- bacterium,,,,"In birds, P. multocida is believed to enter through the respiratory tract tissues of the host. P. multocida has been shown to adhere to air sac macrophages. The mode of transfer from the lungs to the bloodstream is poorly understood, but heterophils may play a role in the process [Ref1589:Harper et al., 2006].","The first systemic host defence used against most invading bacteria involves the innate immune system and includes phagocytosis and bactericidal properties of serum components such as complement. However, P. multocida has mechanisms to evade this system, including the presence of a capsule. Active immunity against P. multocida infection is mainly humoral; vaccination of birds with killed P. multocida stimulates protection against homologous challenge, and opsonization studies in mice have shown that bactericidal antibodies are produced [Ref1589:Harper et al., 2006].",
162,Infectious salmon anemia virus,55987,Infectious Salmon Anemia,"Apart from Atlantic salmon, both sea-run Brown trout (Salmo trutta) and Rainbow trout (Onchorhyncus mykiss) can be infected, but do not become sick, so it is thought possible that these species may act as important carriers and reservoirs of the virus [Ref1590:Wiki: Infectious Salmon anemia virus].",virus,,,,"The major port of ISAV entry is most likely the gill, but oral entry cannot be excluded. Endothelial cells are one of the main target cells for ISAV, but the presence of virus in other cell types including polymorphonuclear leukocytes has been reported. The pathological changes observed in natural outbreaks of ISA may vary between the individual fish and between outbreaks [Ref1591:Rimstad and Mjaaland, 2002].",,
163,Edwardsiella ictaluri,67780,Enteric septicemia of channel catfish (ESC),"E. ictaluri is specifically adapted to the channel catfish host. Although it has been isolated from other fish species, disease has only been described in channel catfish [Ref1593:Microgen].",G- bacterium,,,,,"Several studies have alluded that protective immunity in channel catfish against E. ictaluri is largely mediated by a cellular immune response with humoral antibodies having a secondary function. This observation is also supported by the fact that E. ictaluri, like Salmonella, could survive and replicate intracellularly and it is the cell mediated immune response that is primarily important in combating these infections [Ref1592:Russo et al., 2009].",
164,Avian Paramyxovirus,260963,,,virus,,,,,,
165,Bluetongue virus,40051,Bluetongue disesase,"Bluetongue infects ruminants, mainly sheep but also cattle, goats, buffalo, deer, dromedaries, and antelope. It is transmitted by a midge, Culicoides imicola and other culicoids [Ref1594:Wiki: Bluetongue].",virus,,,,"The pathogenesis of BTV infection is similar in sheep and cattle and, most probably, all species of ruminants. However, there are marked differences in the severity of disease that occurs in different ruminant species or breeds after BTV infection, and infection of the same species or sheep breed with different virus strains. After cutaneous instillation of BTV (by inoculation or through the bite of a BTV-infected Culicoides vector) the virus travels to the regional lymph node, where initial replication occurs. The virus then is disseminated to a variety of tissues throughout the body, where replication occurs principally in mononuclear phagocytic and endothelial cells, lymphocytes and perhaps other cell types. Viraemia is highly cell associated and may be prolonged but not persistent in domestic ruminants. BTV promiscuously associates with all blood cells during viraemia, thus titres of virus in each cell fraction are proportionate to the numbers of each cell type; specifically, BTV is quantitatively associated most with platelets and erythrocytes and, because of the short lifespan of platelets, virus is largely or exclusively associated with erythrocytes late in the course of BTV infection of ruminants. BTV infection of erythrocytes facilitates both prolonged infection of ruminants and infection of haematophagous insect vectors that feed on viraemic ruminants, and infectious virus can co-circulate for several weeks with high titres of neutralizing antibody [Ref1595:Maclachlan et al., 2009].",,
166,Bordetella bronchiseptica,518,"Infectious bronchitis, kennel cough","B. bronchiseptica displays a broad host range which includes mice, rats, guinea pigs, rabbits, cats, dogs, pigs, sheep, horses, and bears. Although human infections have been documented, they are usually associated with a severely compromised host. Animal models for B. bronchiseptica have been developed that reflect both the natural course of infection as well as those that are specifically skewed toward disease. A B. bronchiseptica strain, RB50, has been isolated from the nose of a naturally infected New Zealand White rabbit. Specific pathogen free rabbits inoculated with RB50 become colonized in the nasal cavity, larynx, trachea and lungs. Rat and mouse models have also been developed [Ref1596:Mattoo et al., 2001]. B. bronchiseptica has been isolated from dogs, humans, monkeys, cats, rabbits, ferrets, guinea pigs, mice,swine, foxes, rats, hedgehogs, horses, skunks, opossums, raccoons, koala bears, turkeys, and lesser bushbabies [Ref1598:Goodnow, 1980].",G- bacterium,,,,,"Prevention of B. bronchiseptica respiratory tract (lung, tracheal, or nasal turbinate) membrane infections of mammals appears to be dependent upon prevention of attachment to and colonization of host cells by invading bacteria. As there have been few reports of septicemicphase infections, the inhibition of these infections appears to be dependent upon localized activity of humoral agglutinins, antitoxins, or cellular immune factors [Ref1598:Goodnow, 1980].",
167,Avian pneumovirus,38525,"Turkey rhinotracheitis, Avian rhinotracheitis, Swollen head syndrome","Chickens, turkeys, pheasants, and guinea fowl [Ref1599:Merck Vet Manual: Avian Pneumovirus].",virus,,,,"Following infection, the virus is shed from the nares and trachea but not in the feces. After initial introduction of the virus, the disease spreads rapidly within a geographic area or country. The methods by which the virus is spread are unclear and often unpredictable. Direct contact attributed to movement of infected birds, personnel, equipment, and vehicles have all been implicated, while airborne transmission has also been reported to occur. There is no published evidence of vertical transmission via the egg, even though the virus has, on occasion, been detected in the reproductive tract of laying birds. Persistence of the virus in turkeys and chickens has not been demonstrated and, following experimental infection, virus was detected for 6-7 days only after inoculation. Wild birds have been implicated in the spread of avian pneumovirus, particularly waterfowl and gulls [Ref1599:Merck Vet Manual: Avian Pneumovirus].",,
168,Avian Polyomavirus,10624,"Papovavirus, Budgerigar fledgling disease, Psittacine polyomavirus",,virus,,,,,,
169,Bovine viral diarrhea virus 1,11099,Bovine viral Diarrhea (BVD),,virus,,,,,,
170,Canine parainfluenza virus,149595,,,virus,,,,,,
171,Canine Adenovirus Type 2,10514,,"The host range of CAV-2 includes a broad number of mammalian species. Wild-life animals may be a source of infection for domestic dogs. The overall prevalence of antibodies to canine adenoviruses in European red foxes (Vulpes vulpes) in Australia was 23.2% with marked geographical, seasonal and age differences, while the prevalence of antibodies was 97% in Island foxes (Urocyon littoralis) in the Channel Islands, California. Antibodies to CAV-2 were also detected in free-ranging terrestrial carnivores and in marine mammals in Alaska and Canada, including black bears (Ursus americanus), fishers (Martes pennanti), polar bears (Ursus maritimus), wolves (Canis lupus), walruses (Odobenus rosmarus) and  Steller sea lions (Eumetopias
jubatus) [Ref1604:Buonavoglia and Martella, 2007].",virus,,,,,,
172,Duck enteritis virus,104388,Duck Plague,"Only ducks, geese, and swans are susceptible to duck plague. Other aquatic birds do not become infected, and the absence of mortality of American coot, shorebirds, and other waterbirds that may be present during a waterfowl die-off can be an important indication that duck plague may be involved. Susceptibility varies greatly among waterfowl species [Ref1605:Field Manual of Wildlife Diseases].",virus,,,,,,
173,Equid herpesvirus,10326,Equine Rhinopneumonitis,Equids,virus,,,,"Primary EHV-1 replication occurs in the upper respiratory tract epithelial cells and local lymph nodes resulting in leukocyte-associated viremia. Leukocyte associated viremia in acute infection has been shown as a prerequisite for abortion and paresis by initiating replication of EHV-1 in the endothelial lining of blood vessels in the central nervous system (CNS) and pregnant uterus. A widespread infection of endometrial blood vessels results in severe vasculitis and multifocal thrombosis, which could result in an abortion of a virus negative fetus. Latency has been demonstrated in lymphoid and neural tissues for both EHV-1 and EHV-4 [Ref1606:Patel and Heldens, 2005].",,
174,Equine rotavirus,10937,Rotaviral Diarrhea,,virus,,,,,,
